,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Eswatini,Northeast,North,Northwest,East,Northwest,Northwest,Northwest,Northwest,West,North,West,East,North,North,Northwest,North,Northeast,Northwest,North,North,West,Northwest,Northwest,Northeast,West,West,North,Northwest,West,Northeast,Northwest,East,North,Northwest,North,Northeast,Northwest,Northwest,Northwest,West,North,North,West,Northeast,East,East,West,Northeast,East,West,Northwest,North,Northwest,West,North,North,Northwest,North,North,Northwest,Northwest,West,North,West,Northwest,North,North,#DIV/0!,North,West,Northwest,East,North,North,East,Southeast,Northwest,Northwest,North,North,Northwest,Northwest,North,West,Northwest,East,West,Northwest,Northwest,Northwest,West,Northwest,West,Northeast,North,West,Northeast,East,North,North,Northwest,Northwest,North,North,West,Northeast,Northwest,North,Northeast,North,East,North,North,Northeast,Northeast,North,North,Southwest,Northwest,North,North,North,North,Northeast,Northeast,North,Northeast,Northeast,Northwest,North,East,Northwest,East,West,East,North,North,Northeast,North,Northwest,Northwest,Northeast,Northeast,West,East,Northeast,North,East,East,West,Northwest,Northwest,East,East,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,West,West,Northeast,West,North,Northwest,Northwest,North,Northwest,North,Northeast,North,Northwest,West,Northwest,Northwest,Northwest,Northwest,Northwest,East,North,Northwest,North,Northwest,North,Northeast,Northwest,East,Northwest,North,North,East,Northeast,Southwest,Northeast,North,Northwest,Northeast,North,West,North,North,North,Northeast,Northeast,North,Northeast,East,Northwest,East,East,West,North,North,Northeast,Northwest,East,Northwest,North,North,Northeast,Northwest,Northwest,West,Northeast,East,West,Northeast,East,North,North,North
Ethiopia,Northeast,Northwest,Northwest,East,Northwest,Southwest,West,West,Southwest,North,West,East,Northwest,North,West,Northeast,East,West,North,Northwest,West,West,West,East,West,West,Northwest,Southwest,West,Southeast,West,East,Northwest,West,Southwest,East,West,West,West,West,West,West,West,Northeast,East,East,West,South,East,West,West,Northwest,West,West,North,Northwest,Southwest,Northwest,Northeast,West,West,West,Northwest,West,West,North,North,South,#DIV/0!,Southwest,Northwest,East,North,Northwest,East,Southeast,West,West,North,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,East,East,Northeast,North,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,South,East,Northwest,North,Northeast,East,North,North,South,West,Northwest,Northwest,North,Northwest,East,South,South,East,East,West,Northwest,East,West,Southeast,West,East,North,Northwest,Northeast,Northwest,West,Northwest,South,East,Southwest,East,Northeast,Northwest,East,East,West,West,West,East,East,East,Northwest,East,Northwest,Northeast,Northeast,East,North,West,East,West,West,East,West,Northwest,Northwest,West,Northeast,West,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,West,North,West,Northwest,Southeast,West,East,West,Northwest,Northwest,East,Southeast,Southwest,East,West,Northwest,East,West,West,Northwest,Northwest,North,East,Northeast,South,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,Southwest,North,Northeast,Northwest,West,Southwest,Northeast,East,West,East,East,Northeast,Southwest,South
Falkland Islands,Northeast,East,Northeast,West,East,Northeast,North,North,North,East,North,West,East,East,North,Northeast,Northeast,North,East,East,Northwest,Northeast,North,Northeast,North,North,East,East,North,East,North,East,East,Northeast,Northeast,East,Northeast,West,Northeast,North,Northeast,Northeast,Northwest,Northeast,East,East,North,East,West,North,Northeast,East,North,North,Northeast,East,Northeast,East,Northeast,North,North,North,Northeast,Northwest,Northeast,Northeast,East,East,Northeast,#DIV/0!,Northeast,West,East,East,West,East,Northeast,Northeast,East,East,Northeast,Northeast,East,Northeast,North,Northwest,Northwest,East,Northeast,Northeast,North,North,North,Northeast,East,Northeast,Northeast,East,Northeast,Northeast,East,East,Northeast,East,North,Northwest,East,Northeast,East,Northeast,Northwest,East,Northeast,East,Northeast,East,Northeast,East,Northeast,Northeast,East,East,East,Northeast,East,East,East,Northeast,Northeast,Northeast,Northwest,Northeast,East,Northwest,West,East,East,East,East,North,Northeast,East,Northeast,East,West,Northeast,East,West,West,North,Northeast,Northeast,West,West,West,East,Northwest,East,Northeast,Northeast,West,Northeast,North,West,North,North,West,West,East,East,North,Northeast,Northeast,East,East,Northeast,North,Northeast,North,North,North,North,North,West,East,Northeast,Northeast,Northeast,East,East,Northeast,East,North,East,East,West,Northeast,East,Northwest,Northeast,East,Northeast,Northeast,North,East,East,Northeast,Northwest,East,Northeast,Northeast,West,Northeast,West,West,North,Northeast,East,East,North,West,North,Northeast,East,Northeast,East,North,North,East,West,North,East,West,Northeast,Northeast,East
Faroe Islands,East,Southeast,South,Southwest,Southeast,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southeast,East,Southwest,Southeast,East,Southwest,East,Southeast,Southwest,South,Southwest,East,Southwest,Southwest,Southeast,South,Southwest,Southeast,Southwest,Southeast,Southeast,South,Southeast,Southeast,South,West,South,Southwest,Southeast,Southeast,West,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,Southeast,Southwest,Southwest,Southeast,Southeast,Southeast,East,Southeast,Southwest,Southwest,Southwest,Southeast,Southwest,South,Southeast,East,Southeast,Southeast,Southwest,#DIV/0!,Southwest,East,Southeast,Southwest,East,South,South,East,Southeast,South,South,Southeast,West,Southwest,East,Southwest,South,South,South,Southwest,Southwest,Southwest,East,Southeast,West,Southeast,Southeast,Southeast,Southeast,South,South,Southeast,Southeast,Southwest,East,South,Southeast,East,Southeast,West,Southeast,Southeast,East,East,East,Southeast,East,South,Southeast,Southeast,East,Southeast,East,Southeast,Southeast,Southeast,Southeast,South,Southeast,East,South,Southeast,West,East,East,Southeast,East,Southeast,Southwest,South,Southeast,East,South,East,East,Southeast,Southeast,West,Southwest,South,South,Southwest,East,East,Southeast,East,East,Southeast,East,East,Southeast,Southwest,Southeast,Southwest,Southwest,East,Southwest,East,South,Southwest,Southeast,South,Southeast,East,Southeast,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,Southwest,Southeast,South,Southeast,South,Southeast,Southeast,South,Southeast,Southwest,Southeast,Southeast,Southeast,Southeast,East,East,Southeast,South,Southeast,Southeast,Southwest,East,Southeast,Southeast,East,East,Southeast,Southeast,Southeast,South,Southwest,Southwest,Southwest,Southeast,Southeast,East,Southwest,West,Southwest,Southeast,East,Southeast,Southeast,West,West,East,Southeast,Southwest,Southeast,Southwest,Southeast,Southeast,Southeast
Fiji,Northwest,West,West,East,West,West,East,East,East,Northwest,East,West,West,Northwest,East,West,Northwest,East,Northwest,West,East,West,Northeast,Northwest,East,East,West,West,East,West,East,West,West,East,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,East,East,East,West,East,East,West,West,West,Northwest,West,East,East,East,West,East,West,West,Northwest,West,West,East,Northeast,#DIV/0!,Northwest,West,East,West,West,East,Northwest,West,East,East,West,Northeast,East,Northwest,East,East,East,East,East,East,East,Northwest,West,Northeast,West,West,West,West,East,East,West,West,East,Northwest,East,West,Northwest,West,Northeast,West,West,Northwest,Northwest,Northwest,West,West,East,West,West,Northwest,West,Northwest,West,West,West,West,East,West,North,East,West,Northeast,Northwest,Northwest,West,Northwest,West,East,East,West,Northwest,West,Northwest,Northwest,West,West,South,East,West,West,East,Southwest,Northwest,West,Northwest,Northwest,West,Northwest,Northwest,West,East,West,East,East,Northwest,East,Northwest,East,East,West,West,West,Northwest,West,East,East,East,East,East,Northeast,East,East,West,West,West,East,West,West,East,West,East,West,West,West,West,West,Northwest,West,East,West,West,East,Northwest,West,West,Northwest,Northwest,West,West,West,West,Northeast,Southeast,East,West,West,Northwest,East,North,East,West,Northwest,West,East,Northeast,East,Northwest,West,East,Northwest,Northeast,West,West,West
Finland,Southeast,South,Southwest,Southeast,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southwest,Southeast,West,Southeast,Southeast,Southwest,South,Southwest,West,Southwest,West,Southeast,Southwest,Southwest,Southwest,South,Southwest,Southeast,Southwest,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,South,Southeast,Southwest,Southwest,Southwest,West,Southwest,South,Southwest,South,West,South,Southwest,Southwest,Southwest,South,Southwest,South,South,South,South,South,West,West,Southeast,#DIV/0!,Southwest,Southwest,Southeast,South,Southwest,Southeast,Southwest,Southwest,Southwest,South,West,Southwest,East,West,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,Southeast,Southwest,West,Southeast,Southeast,Southeast,Southeast,West,West,South,Southwest,Southwest,East,Southwest,South,East,South,East,South,Southeast,Southeast,Southeast,South,South,Southeast,Southwest,South,Southwest,South,Southwest,Southeast,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,South,West,Southeast,South,Southwest,East,South,Southwest,Southwest,South,Southeast,South,Southeast,Southeast,Southwest,Southeast,East,Southwest,South,South,Southeast,East,East,South,East,West,Southeast,Southeast,Southeast,South,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,Southwest,Southwest,Southwest,Southeast,South,South,East,South,Southwest,Southwest,Southwest,Southwest,Southwest,West,Southwest,Southeast,Southwest,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,Southwest,Southwest,Southwest,Southeast,South,Southwest,East,South,Southwest,Southeast,South,Southwest,West,Southwest,Southeast,East,Southeast,South,Southeast,Southeast,Southwest,Southeast,Southeast,Southwest,Southwest,South,Southeast,West,Southeast,Southwest,South,South,Southeast,West,West,West,Southeast,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
France,East,East,South,West,South,South,Southwest,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,Northeast,West,South,West,East,Southwest,Southwest,East,South,Southwest,Southeast,Southwest,East,East,South,Southeast,East,South,West,Southwest,West,Southeast,Southeast,Southwest,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,East,West,Southwest,East,East,South,Northeast,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,#DIV/0!,Southwest,East,South,Southwest,East,Northeast,South,Southwest,East,Northwest,Southwest,East,West,Northwest,South,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,East,Northwest,Northwest,Southeast,Southeast,West,East,Northwest,Southeast,East,Southeast,West,East,East,East,East,Northeast,East,South,South,Southeast,East,East,Northeast,East,Southeast,Southeast,Southeast,Southeast,South,Southeast,East,Southwest,Southeast,West,East,East,Southeast,East,East,Southwest,Southwest,Southeast,East,South,East,East,Northeast,East,Southeast,West,South,South,West,Southeast,East,East,East,Northeast,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,East,Southwest,West,Southeast,South,East,East,Southeast,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,West,East,South,Southeast,Southwest,East,Southeast,South,Southeast,Southwest,East,East,East,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,East,East,East,East,Southeast,East,Southeast,South,West,West,Southwest,Southeast,East,East,West,East,Southwest,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,West,Southeast,Southeast,South
French Polynesia,West,East,East,West,East,East,Northeast,East,East,West,East,West,East,West,Northeast,West,West,East,East,Northeast,Northeast,East,Northeast,West,East,East,East,East,East,West,Northeast,West,East,East,East,West,East,Northeast,East,Northeast,East,East,East,Northwest,West,West,East,West,West,Northeast,East,East,Northeast,East,West,East,East,Northeast,West,East,Northeast,East,West,Northeast,East,West,Northeast,West,West,East,Northeast,West,Northeast,Northeast,#DIV/0!,West,East,East,West,Northeast,East,East,East,Northeast,East,Northwest,Northeast,Northeast,East,East,East,Northeast,Northeast,Northwest,East,Northeast,West,West,West,West,Northeast,Northeast,West,East,Northeast,Northwest,Northeast,West,Northwest,West,Northwest,East,West,Northwest,West,Northeast,West,East,East,East,East,Northeast,Northeast,West,West,West,West,West,East,East,Northwest,East,West,Northeast,Northwest,East,East,Northwest,East,East,East,West,West,East,West,West,Northeast,West,Southwest,Northeast,East,East,West,West,Northwest,East,Northwest,Northeast,West,West,West,West,East,West,East,East,West,East,East,East,Northeast,West,East,East,Northwest,East,East,East,East,East,East,Northeast,East,West,East,East,West,East,East,West,East,West,East,East,East,West,West,East,Northwest,West,East,West,East,East,Northeast,East,West,Northwest,West,West,West,West,East,West,West,East,East,West,West,Northeast,West,Northeast,West,West,West,Northeast,Northeast,East,West,West,East,West,West,West,East,East
French South Antarctic Territory,North,West,Northwest,East,West,Northwest,Northwest,Northwest,West,North,Northwest,East,West,North,Northwest,North,North,Northwest,West,West,Northwest,Northwest,Northwest,North,West,Northwest,West,Northwest,West,North,Northwest,Northeast,West,Northwest,Northwest,Northeast,Northwest,West,Northwest,Northwest,Northwest,Northwest,West,North,Northeast,Northeast,West,Northwest,East,West,Northwest,West,Northwest,Northwest,Northwest,West,Northwest,West,Northwest,Northwest,Northwest,West,Northwest,West,Northwest,Northwest,West,Northwest,Northwest,West,West,East,Northwest,West,East,#DIV/0!,Northwest,Northwest,West,West,Northwest,Northwest,Northwest,West,Northwest,Northeast,West,West,Northwest,Northwest,Northwest,Northwest,Northwest,Northeast,West,West,North,Northeast,North,North,West,West,Northwest,West,Northwest,Northeast,West,Northwest,North,Northwest,East,West,North,East,Northeast,West,North,Northwest,Northwest,Northwest,West,West,West,Northeast,Northwest,Northwest,Northeast,North,Northwest,Northwest,Northeast,Northwest,North,Northwest,Northeast,West,West,East,West,Northwest,Northwest,Northwest,North,Northwest,Northeast,North,West,East,East,West,Northwest,Northwest,East,East,Northeast,West,Northeast,West,North,North,Northeast,Northwest,West,Northeast,West,West,Northeast,East,West,Northwest,Northwest,North,Northwest,West,Northeast,Northwest,Northwest,West,Northwest,Northwest,Northwest,West,Northwest,East,West,Northwest,North,Northwest,West,North,Northwest,Northeast,Northwest,West,West,Northeast,Northwest,West,Northeast,Northwest,Northwest,North,Northwest,Northwest,West,West,North,Northeast,North,Northwest,Northeast,Northeast,Northwest,East,East,Northwest,Northwest,North,North,Northwest,East,Northwest,Northwest,West,North,West,Northwest,West,West,East,West,Northeast,East,North,Northwest,Northwest
Gabon,Northeast,North,North,East,North,Southeast,West,West,Southwest,Northeast,West,East,North,Northeast,West,Northeast,East,West,North,North,West,Northwest,Northwest,East,West,West,North,Southeast,West,East,West,East,North,Northwest,East,East,North,Northwest,Northwest,West,Northeast,Northeast,Southwest,East,East,East,West,East,West,West,Northwest,North,West,West,Northeast,North,East,North,East,West,West,West,Northeast,West,Northwest,Northeast,North,Southeast,East,Southwest,North,East,North,North,West,Southeast,#DIV/0!,Northwest,Northeast,North,Northwest,Northwest,North,Northwest,West,East,West,North,Northwest,Northwest,West,West,West,East,North,Northwest,East,East,Northeast,Northeast,North,North,Northeast,North,West,East,North,Northeast,Northeast,East,East,North,Northeast,Northeast,East,North,Northeast,Southeast,West,North,North,North,North,East,Southeast,Southeast,East,East,Northwest,North,East,Northwest,Southeast,West,East,North,North,Northeast,North,West,Northwest,Southeast,East,South,East,East,North,East,East,West,North,North,East,East,East,North,East,North,Northeast,Northeast,East,Northeast,West,East,West,West,East,West,North,Northwest,West,Northeast,East,North,Northeast,East,West,Southwest,West,West,West,Northwest,West,East,North,West,Northeast,Northwest,North,East,West,East,West,North,North,East,East,South,East,East,North,East,Northeast,West,North,North,Northeast,East,Northeast,East,East,East,Northwest,East,East,West,North,Northeast,Northeast,West,East,West,East,North,Northeast,North,West,Southwest,Northeast,East,West,East,East,Northeast,Southeast,Southeast
Gambia,East,Northeast,Northeast,West,Northeast,Southeast,West,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,Northeast,West,East,West,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,East,East,East,East,Northwest,West,West,East,East,Southwest,East,East,East,West,Southeast,West,West,Southeast,Northeast,West,West,Northeast,Northeast,Southeast,Northeast,East,West,West,West,East,West,Southeast,East,Northeast,Southeast,East,Southwest,North,West,Northeast,Northeast,West,Southeast,Southeast,#DIV/0!,Northeast,Northeast,East,Northeast,Northeast,Northwest,West,East,West,North,Southeast,South,West,West,West,East,Northeast,North,East,East,East,East,North,North,East,Northeast,West,East,North,East,Northeast,East,West,Northeast,East,East,East,Northeast,East,Southeast,Southeast,East,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,East,East,Northeast,West,Northeast,Southeast,West,East,Northeast,Northeast,East,Northeast,West,Northeast,Southeast,East,Southeast,West,East,Northeast,West,West,West,East,East,West,West,East,Northeast,East,Northeast,East,East,East,East,West,East,Southwest,West,East,West,Northeast,North,West,East,Southeast,Northeast,East,East,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,Northeast,Northeast,East,Southeast,East,West,Northeast,Northeast,East,East,Southeast,East,East,Northeast,East,East,West,Northeast,Northeast,East,East,East,East,East,East,East,West,West,West,Northeast,Northeast,East,West,West,West,East,Northeast,East,North,West,Southwest,East,West,West,East,West,East,Southeast,Southeast
